Original Word,Oleander,Snowball
INS,IN,INS
Insull,Insul,Insull
inter-Allied,inter-,inter-Alli
International,Intern,Internat
Intimism,Intim,Intimism
Intyre,Intyr,Intyre
INWATS,INWAT,INWATS
Yokoyama,Yokoyama,yokoyama
Iole,Iol,Iole
Ione,Ion,Ione
Ios,Io,Ios
Ioved,Iov,Iove
Ioves,Iov,Iove
IPCE,IPC,IPCE
IPCS,IPC,IPCS
Iphis,Iphi,Iphis
Iphition,Iphit,Iphition
Iphthime,Iphthim,Iphthime
IPY,IPI,IPi
IPMS,IPM,IPMS
IPS,IP,IPS
IPSE,IPS,IPSE
YPVS,PVS,YPVS
IQSY,IQSI,IQSi
Iranic,Iran,Iranic
Iranism,Iran,Iranism
Iranize,Iran,Iraniz
IRAS,IRA,IRAS
yrbk,	rbk,yrbk
IRDS,IRD,IRDS
Irene,Iren,Irene
Iricism,Iric,Iricism
Iricize,Iric,Iriciz
Iricized,Iric,Iriciz
Iricizing,Iric,Iriciz
Iris,Iri,Iris
Irisher,Irish,Irisher
Irishism,Irish,Irishism
Irishize,Irish,Irishiz
Irishized,Irish,Irishiz
Irishizing,Irish,Irishiz
Irme,Irm,Irme
Irmine,Irmin,Irmine
IRMS,IRM,IRMS
IRS,IR,IRS
YRS,RS,YRS
yrs.,	rs.,yrs.
Irvine,Irvin,Irvine
Irving,Irv,Irving
Irvingism,Irving,Irvingism
Isaianic,Isaian,Isaianic
Ysaye,Ysay,ysay
Isander,Isand,Isander
ISAS,ISA,ISAS
Ischys,Ischi,Ischys
Iseabal,Iseab,Iseabal
ISEE,ISE,ISEE
Isere,Iser,Isere
Ishpeming,Ishpem,Ishpeme
ISY,ISI,ISi
Isiacal,Isiac,Isiacal
Ising,Ise,Ising
ISIS,ISI,ISIS
Islamic,Islam,Islamic
Islamism,Islam,Islamism
Islamization,Islam,Islamiz
Islamize,Islam,Islamiz
Islamized,Islam,Islamiz
Islamizing,Islam,Islamiz
Isle,Isl,Isle
Ismaelism,Ismael,Ismaelism
Ismene,Ismen,Ismene
Isocrates,Isocr,Isocrat
ISODE,ISOD,ISODE
Israeli,Isra,Israeli
Israelis,Isra,Israeli
Issie,Issi,Issie
YST,ST,YST
Italic,Ital,Italic
Italical,Ital,Italic
Italically,Ital,Italic
Itaves,Itav,Itave
YTD,TD,YTD
Ithome,Ithom,Ithome
Itys,Iti,Itys
ITS,IT,ITS
I've,I'v,I've
Ives,Ive,Ives
Ivie,Ivi,Ivie
Ivis,Ivi,Ivis
IVTS,IVT,IVTS
IWS,IW,IWS
Ixodes,Ixod,Ixode
JTIDS,JTID,JTIDS
KAOS,KAO,KAOS
KIAS,KIA,KIAS
KIPS,KIP,KIPS
KLIPS,KLIP,KLIPS
LAIS,LAI,LAIS
LANCE,LANC,LANCE
lateral,later,lateral
lateraled,later,lateral
lateraling,later,lateral
laterality,later,lateral
lateralities,later,lateral
lateralization,later,lateral
lateralize,later,lateral
lateralized,later,lateral
lateralizing,later,lateral
laterally,later,lateral
laterals,later,lateral
laterization,later,lateriz
laterize,later,lateriz
LATIS,LATI,LATIS
L'Avare,L'Avar,L'Avare
LCAMOS,LCAMO,LCAMOS
LEAS,LEA,LEAS
L'Etranger,L'Etrang,L'Etranger
LFACS,LFAC,LFACS
lyings,ly,lie
LIPS,LIP,LIPS
'll,'ll,ll
LOOPS,LOOP,LOOPS
L'Otage,L'Otag,L'Otage
LOTS,LOT,LOTS
M',M,M'
MACBS,MACB,MACBS
MAEd,MA,MAEd
MAeroE,MAero,MAeroE
MAgEd,MAge,MAgEd
MALS,MAL,MALS
MArchE,MArch,MArchE
MarMechE,MarMech,MarMechE
MARS,MAR,MARS
MATCALS,MATCAL,MATCALS
MATS,MAT,MATS
McAfee,McAfe,McAfee
McAlester,McAlest,McAlester
McAlister,McAlist,McAlister
McAllister,McAllist,McAllister
MCIAS,MCIA,MCIAS
McIntire,McIntir,McIntire
McIntyre,McIntyr,McIntyre
MDACS,MDAC,MDACS
MEANS,MEAN,MEANS
MERS,MER,MERS
MFLOPS,MFLOP,MFLOPS
MGeolE,MGeol,MGeolE
'mid,'mid,mid
MIDAS,MIDA,MIDAS
'midst,'midst,midst
MIMinE,MIMin,MIMinE
MIMunE,MIMun,MIMunE
MINCE,MINC,MINCE
MIPS,MIP,MIPS
MIRS,MIR,MIRS
MITS,MIT,MITS
'mongst,'mongst,mongst
MOTAS,MOTA,MOTAS
MOTIS,MOTI,MOTIS
MOTOS,MOTO,MOTOS
MOUSE,MOUS,MOUSE
MSGeolE,MSGeol,MSGeolE
MULTICS,MULTIC,MULTICS
MUMPS,MUMP,MUMPS
MVY,MVI,MVi
NAAS,NAA,NAAS
NACS,NAC,NACS
NADGE,NADG,NADGE
NAPLPS,NAPLP,NAPLPS
NATS,NAT,NATS
NEBS,NEB,NEBS
NEFS,NEF,NEFS
NETBIOS,NETBIO,NETBIOS
NICMOS,NICMO,NICMOS
NIMBY,NIMBI,NIMBi
NIMS,NIM,NIMS
NOCS,NOC,NOCS
NOTIS,NOTI,NOTIS
NURBS,NURB,NURBS
O',O,O'
O/S,O/,O/S
OACIS,OACI,OACIS
Oakes,Oak,Oake
OAS,OA,OAS
OASYS,OASI,OASYS
Oates,Oat,Oate
OATS,OAT,OATS
Obed,Obe,Obed
Obeded,Obed,Obede
Obie,Obi,Obie
Oboe,Obo,Oboe
Obote,Obot,Obote
OBS,OB,OBS
Observant,Observ,Observant
OCATE,OCAT,OCATE
Occamism,Occam,Occamism
Occident,Occid,Occident
Occleve,Occlev,Occleve
Oceanic,Ocean,Oceanic
Ochs,Och,Ochs
Ocie,Oci,Ocie
OCLI,OC,OCLI
Ocoee,Ocoe,Ocoee
O'Conner,O'Conn,O'Conner
OCS,OC,OCS
Octave,Octav,Octave
October,Octob,October
Odds,Odd,Odds
Odele,Odel,Odele
Odell,Odel,Odell
O'Dell,O'Del,O'Dell
Odie,Odi,Odie
Odine,Odin,Odine
Odinic,Odin,Odinic
Odinism,Odin,Odinism
Odoacer,Odoac,Odoacer
Odoric,Odor,Odoric
ODS,OD,ODS
Odzookers,Odzook,Odzooker
OED,O,OED
OES,OE,OES
Official,Offici,Official
OFNPS,OFNP,OFNPS
OFris,OFri,OFris
OFS,OF,OFS
O-gee,O-ge,O-gee
OGICSE,OGICS,OGICSE
Ohare,Ohar,Ohare
O'Hare,O'Har,O'Hare
OHMS,OHM,OHMS
Oys,Oy,Oys
Oise,Ois,Oise
Okie,Oki,Okie
Oklee,Okle,Oklee
Olds,Old,Olds
Old-Testament,Old-Testa,Old-Testament
Olfe,Olf,Olfe
Olympic,Olymp,Olympic
Olympicly,Olymp,Olympic
Olympicness,Olymp,Olympic
Olympics,Olymp,Olympic
Oliphant,Oliph,Oliphant
Olyphant,Olyph,Olyphant
Olive,Oliv,Olive
Oliver,Oliv,Oliver
Olives,Oliv,Olive
Olivier,Olivi,Olivier
Ollie,Olli,Ollie
Olmsted,Olmst,Olmsted
Olnee,Olne,Olnee
Olpe,Olp,Olpe
Omniscience,Omnisci,Omniscienc
Omphale,Omphal,Omphale
OMS,OM,OMS
Onas,Ona,Onas
Ondine,Ondin,Ondine
Oneill,Oneil,Oneill
O'Neill,O'Neil,O'Neill
Onfre,Onfr,Onfre
Onsted,Onst,Onsted
Ontaric,Ontar,Ontaric
Ontine,Ontin,Ontine
OOPS,OOP,OOPS
Opdyke,Opdyk,Opdyke
OPEOS,OPEO,OPEOS
Ophis,Ophi,Ophis
Ophite,Ophit,Ophite
Ophitic,Ophit,Ophitic
Ophitism,Ophit,Ophitism
Ophrys,Ophri,Ophrys
Opis,Opi,Opis
OPS,OP,OPS
Orangeism,Orang,Orangeism
Orcas,Orca,Orcas
Orchis,Orchi,Orchis
Orfinger,Orfing,Orfinger
organal,organ,organal
organer,organ,organer
organic,organ,organic
organical,organ,organic
organically,organ,organic
organicity,organ,organic
organics,organ,organic
organing,organ,organe
organism,organ,organism
organisms,organ,organism
organism's,organ,organism
organity,organ,organiti
organization,organ,organiz
organizations,organ,organiz
organization's,organ,organiz
organize,organ,organiz
organized,organ,organiz
organizer,organ,organiz
organizers,organ,organiz
organizes,organ,organiz
organizing,organ,organiz
Orgas,Orga,Orgas
Orgell,Orgel,Orgell
Oriental,Orient,Oriental
Orientalism,Orient,Oriental
Orientalize,Orient,Oriental
Orleanism,Orlean,Orleanism
Orlene,Orlen,Orlene
Orly,Or,Orli
Orling,Orl,Orling
Orme,Orm,Orme
Orms,Orm,Orms
ORNAME,ORNAM,ORNAME
Ornas,Orna,Ornas
Orne,Orn,Orne
Ornie,Orni,Ornie
Orose,Oros,Orose
Orphical,Orphic,Orphical
Orphically,Orphic,Orphical
Orphicism,Orphic,Orphicism
Orphize,Orphiz,Orphize
Ortegal,Orteg,Ortegal
Orthis,Orthi,Orthis
Orthos,Ortho,Orthos
Orthros,Orthro,Orthros
Orting,Ort,Orting
Ortles,Ortl,Ortles
Ortrude,Ortrud,Ortrude
Orvas,Orva,Orvas
Orvie,Orvi,Orvie
Orwell,Orwel,Orwell
Osage,Osag,Osage
Osages,Osag,Osage
Oscines,Oscin,Oscine
OSDS,OSD,OSDS
Osee,Ose,Osee
Osetic,Oset,Osetic
O-shaped,O-shap,O-shape
O'Shee,O'She,O'Shee
Osirism,Osir,Osirism
OSME,OSM,OSME
OSPS,OSP,OSPS
OSSE,OSS,OSSE
Ossete,Osset,Ossete
Ossetic,Osset,Ossetic
Ossianic,Ossian,Ossianic
Ossianism,Ossian,Ossianism
Ossianize,Ossian,Ossianiz
Ossie,Ossi,Ossie
Ossining,Ossin,Ossine
Ostmannic,Ostmann,Ostmannic
Ostrander,Ostrand,Ostrander
Oswell,Oswel,Oswell
OTBS,OTB,OTBS
Otes,Ote,Otes
Othake,Othak,Othake
Othe,Oth,Othe
Othinism,Othin,Othinism
Otides,Otid,Otide
Otis,Oti,Otis
Otoe,Oto,Otoe
OTS,OT,OTS
Otte,Ott,Otte
Ottie,Otti,Ottie
Ottine,Ottin,Ottine
Ottinger,Otting,Ottinger
Otwell,Otwel,Otwell
Ouse,Ous,Ouse
Outing,Outing,Oute
OUTWATS,OUTWAT,OUTWATS
Ovis,Ovi,Ovis
Owades,Owad,Owade
O-wave,O-wav,O-wave
Owenism,Owen,Owenism
Owenize,Owen,Oweniz
Owings,Owe,Owing
Oxfordism,Oxford,Oxfordism
Ozenfant,Ozenf,Ozenfant
Ozzie,Ozzi,Ozzie
PAYE,PAY,PAYE
PANS,PAN,PANS
paste,past,paste
pasted,past,paste
pastes,past,paste
pasting,past,paste
PHIGS,PHIG,PHIGS
PICS,PIC,PICS
PIMS,PIM,PIMS
POPS,POP,POPS
POTS,POT,POTS
PREMIS,PREMI,PREMIS
'prentice,'prentic,prentic
PROFS,PROF,PROFS
PROMATS,PROMAT,PROMATS
QSY,QSI,QSi
QTY,QTI,QTi
QUANTAS,QUANTA,QUANTAS
QWERTY,QWERTI,QWERTi
RARDE,RARD,RARDE
're,'re,re
REGIS,REGI,REGIS
REMOBS,REMOB,REMOBS
RIACS,RIAC,RIACS
RIAS,RIA,RIAS
RICS,RIC,RICS
RIPS,RIP,RIPS
RMATS,RMAT,RMATS
ROTS,ROT,ROTS
RTTY,RTTI,RTTi
's,,'s
SABME,SABM,SABME
SABRE,SABR,SABRE
SAYE,SAY,SAYE
SAMOS,SAMO,SAMOS
SARTS,SART,SARTS
'sblood,'sblood,sblood
'sbodikins,'sbodikin,sbodikin
SCOOPS,SCOOP,SCOOPS
SCOTS,SCOT,SCOTS
'sdeath,'sdeath,sdeath
SEAS,SEA,SEAS
SEbS,SEb,SEbS
'sfoot,'sfoot,sfoot
'sheart,'sheart,sheart
'shun,'shun,shun
SINS,SIN,SINS
SIPS,SIP,SIPS
Sky,Sky,Ski
skis,ski,skis
sky's,sky,ski
'slid,'slid,slid
'slife,'slife,slife
'slight,'slight,slight
SLUFAE,SLUFA,SLUFAE
SMILS,SMIL,SMILS
SNADS,SNAD,SNADS
'snails,'snail,snail
SONDS,SOND,SONDS
SPARS,SPAR,SPARS
STARS,STAR,STARS
'strewth,'strewth,strewth
SUNY,SUNI,SUNi
t',t,t'
TACCS,TACC,TACCS
TDY,TDI,TDi
'til,'til,til
TIRKS,TIRK,TIRKS
TIROS,TIRO,TIROS
'tis,'tis,tis
TODS,TOD,TODS
TOY,TOY,TOi
TOMS,TOM,TOMS
TOOIS,TOOI,TOOIS
TOPICS,TOPIC,TOPICS
TOPLAS,TOPLA,TOPLAS
TOPS,TOP,TOPS
TORES,TORE,TORES
TTY,TTI,TTi
TUNIS,TUNI,TUNIS
TV-Eye,TV-Ey,TV-Eye
'twas,'twas,twas
'tween,'tween,tween
'tween-decks,'tween-deck,tween-deck
'twere,'twere,twere
'twill,'twill,twill
'twixt,'twixt,twixt
'twould,'twould,twould
U/S,U/,U/S
UARS,UAR,UARS
Uball,Ubal,Uball
Uchee,Uche,Uchee
Udale,Udal,Udale
Udall,Udal,Udall
Udele,Udel,Udele
Udell,Udel,Udell
Udine,Udin,Udine
Uds,Ud,Uds
Uele,Uel,Uele
UFS,UF,UFS
Uhde,Uhd,Uhde
UIMS,UIM,UIMS
Uis,Ui,Uis
Ukrainer,Ukrain,Ukrainer
Ulane,Ulan,Ulane
Ulises,Ulis,Ulise
Ullswater,Ullswat,Ullswater
Ulrike,Ulrik,Ulrike
Ulvales,Ulval,Ulvale
Umbarger,Umbarg,Umbarger
'un,'un,un
Un-attic,Un-att,Un-attic
Un-biblical,Un-bibl,Un-biblic
Un-biblically,Un-bibl,Un-biblic
UNCLE,UNCL,UNCLE
Undine,Undin,Undine
Undis,Undi,Undis
Un-doric,Un-dor,Un-doric
Un-hebraic,Un-hebra,Un-hebraic
Uniatism,Uniat,Uniatism
UNICS,UNIC,UNICS
Un-ionic,Un-ion,Un-ionic
Unionism,Union,Unionism
United,Unit,Unite
universal,univers,universal
universality,univers,universal
universalization,univers,universal
universalize,univers,universal
universalized,univers,universal
universalizer,univers,universal
universalizes,univers,universal
universalizing,univers,universal
universally,univers,universal
universalness,univers,universal
universals,univers,universal
universities,univers,universiti
university's,univers,universiti
Un-judaize,Un-juda,Un-judaiz
Unknowable,Unknow,Unknowabl
Un-mosaic,Un-mosa,Un-mosaic
Un-slavic,Un-slav,Un-slavic
Un-vedic,Un-ved,Un-vedic
Updike,Updik,Updike
UPDS,UPD,UPDS
Upis,Upi,Upis
UPS,UP,UPS
Up-state,Up-stat,Up-state
Up-stater,Up-stat,Up-stater
Ural-Altaic,Ural-Alta,Ural-Altaic
Uralic,Ural,Uralic
Urartic,Urart,Urartic
Urbannal,Urbann,Urbannal
Urbas,Urba,Urbas
Uris,Uri,Uris
Ursas,Ursa,Ursas
USC&GS,USC&G,USC&GS
USES,USE,USES
USGS,USG,USGS
U-shaped,U-shap,U-shape
Ushas,Usha,Ushas
USIS,USI,USIS
USNAS,USNA,USNAS
USPHS,USPH,USPHS
USPS,USP,USPS
Utas,Uta,Utas
Utes,Ute,Utes
Utimer,Utim,Utimer
UTQGS,UTQG,UTQGS
Utraquism,Utraqu,Utraquism
Uuge,Uug,Uuge
UVS,UV,UVS
UWS,UW,UWS
VABIS,VABI,VABIS
VADS,VAD,VADS
VANS,VAN,VANS
've,'ve,ve
VFY,VFI,VFi
VIFRED,VIFR,VIFRED
vying,vy,vie
VINES,VINE,VINES
VNY,VNI,VNi
VODAS,VODA,VODAS
VOIS,VOI,VOIS
WADS,WAD,WADS
WAFS,WAF,WAFS
WAIS,WAI,WAIS
WATS,WAT,WATS
WAVES,WAVE,WAVES
WINS,WIN,WINS
WYSIWIS,WYSIWI,WYSIWIS
WITS,WIT,WITS
WRANS,WRAN,WRANS
WUPPE,WUPP,WUPPE
WWOPS,WWOP,WWOPS
